userid,num_rows,num_attempts,mean_score_pct,median_score_pct,num_quizzes_taken,avg_time_spent_seconds,total_events,unique_courses,first_activity,last_activity,num_views,num_reports,active_days,events_per_day,engagement_score,consistency_score,performance_category,cluster,ml_cluster
24442,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-15 13:31:32,2024-11-22 14:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
24443,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-15 13:33:35,2024-11-22 14:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
24444,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-15 13:44:16,2024-11-22 14:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
24449,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-15 13:51:20,2024-11-22 14:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
24504,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-15 14:16:00,2024-11-22 14:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
24519,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-15 14:27:11,2024-11-22 14:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
24541,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-15 14:39:27,2024-11-22 15:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
24542,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-15 14:41:37,2024-11-22 15:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
24572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-15 16:40:35,2024-11-22 17:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
26023,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-20 08:05:39,2024-11-27 08:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
26089,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-20 08:43:39,2024-11-27 09:00:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
26242,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-20 09:03:13,2024-11-27 09:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
28095,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-25 11:07:56,2024-12-02 11:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
28097,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-25 11:11:24,2024-12-02 11:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
28098,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-25 11:14:06,2024-12-02 11:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
29041,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-30 14:44:18,2024-12-07 15:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
29042,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-30 14:47:32,2024-12-07 15:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
29043,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-30 14:50:39,2024-12-07 15:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
